#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000253251	4772	1174	0.45878	5.753777122497559	1	1	coding
ENST00000253458	7385	1218	0.4252	7.362320518493653	1	1	coding
ENST00000254029	4114	914	0.49140999999999996	5.286901664733886	1	1	coding
ENST00000254108	1824	527	0.41893	9.400666999816895	1	1	coding
ENST00000254286	2408	418	0.39904000000000006	7.06488208770752	1	1	coding
ENST00000254442	7295	1491	0.43929	6.465571784973144	1	1	coding
ENST00000254624	5433	822	0.42131	6.235885429382324	1	1	coding
ENST00000254770	4459	451	0.39526000000000006	7.181856727600098	1	1	coding
ENST00000254976	2053	207	0.44124	4.656045722961426	1	0.999742	coding
ENST00000255304	4894	1093	0.46649	5.8016355514526365	1	1	coding
ENST00000256001	2213	419	0.41523999999999994	5.6113386154174805	1	1	coding
ENST00000256339	8400	2459	0.46114000000000005	5.8721727371215815	1	1	coding
ENST00000256398	3148	548	0.39591000000000004	9.035324668884279	1	1	coding
ENST00000256830	2920	872	0.47909	5.389211845397949	1	1	coding
ENST00000257190	2071	152	0.38237	4.654795265197754	1	0.971402	coding
ENST00000257336	3789	504	0.37041	9.147564125061038	1	1	coding
ENST00000257745	5524	1184	0.42601999999999995	7.751212882995605	-1	0.999983	coding
ENST00000257789	2501	713	0.46688	7.543409538269044	1	1	coding
ENST00000258149	7490	498	0.36852	4.640187644958496	1	1	coding
ENST00000258418	3829	342	0.37705	6.429706382751465	1	0.999998	coding
ENST00000258484	3883	808	0.45618	8.947647666931154	1	1	coding
ENST00000258742	1571	424	0.49679	9.24826374053955	1	1	coding
ENST00000258796	4805	524	0.36222	5.1931173324584945	1	1	coding
ENST00000258886	6324	964	0.4334	6.62131061553955	1	1	coding
ENST00000258947	3635	447	0.41759999999999997	4.938023948669432	1	1	coding
ENST00000259050	5922	705	0.36184	6.320632362365722	1	1	coding
ENST00000259119	7155	685	0.29833	6.717652702331543	1	1	coding
ENST00000259199	1827	396	0.48158000000000006	4.79183406829834	1	1	coding
ENST00000259253	10761	1556	0.40581	5.421496391296387	1	1	coding
ENST00000259351	6330	558	0.35325	9.212935066223146	1	1	coding
ENST00000260130	2073	299	0.46266	7.0576066970825195	1	0.999997	coding
ENST00000260372	3921	236	0.29772	7.741095542907716	1	0.966535	coding
ENST00000260382	6176	687	0.3801	7.9425855636596685	1	1	coding
ENST00000260506	5341	552	0.35536	5.820960807800293	1	1	coding
ENST00000260585	8066	387	0.28165000000000007	6.28925724029541	1	0.999982	coding
ENST00000260605	1399	352	0.45143999999999995	7.096086692810059	1	1	coding
ENST00000260762	3564	805	0.5044000000000001	5.818914604187013	1	1	coding
ENST00000260818	7754	2244	0.48134	6.305342674255372	1	1	coding
ENST00000260952	2411	644	0.48563999999999996	6.398956489562988	1	1	coding
ENST00000261016	6374	409	0.37454	5.880584907531738	1	1	coding
ENST00000261018	6567	543	0.37454	5.717343330383301	1	1	coding
ENST00000261168	8823	1271	0.45669	4.583234977722168	1	1	coding
ENST00000261205	4705	423	0.43144	8.256546592712404	1	1	coding
ENST00000261308	2109	647	0.44683	6.699748420715332	1	1	coding
ENST00000261366	2890	587	0.42323	5.10541477203369	1	1	coding
ENST00000261427	5153	201	0.29059	5.32839412689209	1	0.979701	coding
ENST00000261507	2227	294	0.39047	6.754086494445801	1	0.999978	coding
ENST00000261537	10100	1007	0.38258	6.467731666564941	1	1	coding
ENST00000261558	11675	491	0.28474000000000005	6.174385643005371	1	1	coding
ENST00000261574	6001	1116	0.50456	4.801041984558106	1	1	coding
ENST00000261593	3551	246	0.40772	6.495355415344237	1	0.999817	coding
ENST00000261601	4972	495	0.35724	5.199710655212402	1	1	coding
ENST00000261716	12643	1002	0.33446	7.299058723449707	1	1	coding
ENST00000261733	9561	518	0.35965	6.62756290435791	1	1	coding
ENST00000261735	1623	262	0.4745	6.773241233825684	1	0.999977	coding
ENST00000261739	4241	591	0.40859	4.935011482238767	1	1	coding
ENST00000261749	1706	209	0.41777999999999993	6.87026538848877	1	0.998214	coding
ENST00000261822	3722	211	0.35275	5.013676643371581	1	0.997884	coding
ENST00000261858	5044	618	0.36207	9.042416191101072	1	1	coding
ENST00000261868	2479	259	0.36283	4.715328788757325	1	0.999939	coding
ENST00000261890	4895	217	0.29059	6.118115043640136	1	0.978583	coding
ENST00000261893	1911	548	0.49559000000000003	8.709694862365723	1	1	coding
ENST00000261951	6219	558	0.32484999999999997	6.817916679382324	1	1	coding
ENST00000261973	6813	844	0.42530999999999997	6.05957088470459	1	1	coding
ENST00000262039	9415	888	0.37782	6.367297172546387	1	1	coding
ENST00000262043	18797	2040	0.41612	6.518034172058106	1	1	coding
ENST00000262056	3856	612	0.43739	5.548872566223144	1	1	coding
ENST00000262133	4854	1140	0.46322	7.2696729660034185	1	1	coding
ENST00000262225	2544	202	0.41678	5.082394981384277	1	0.999238	coding
ENST00000262291	3686	407	0.36845	6.472904014587402	1	1	coding
ENST00000262461	6874	1213	0.44366999999999995	5.979768943786621	1	1	coding
ENST00000262646	3735	213	0.35819	6.080999183654785	1	0.995841	coding
ENST00000262836	2178	560	0.46785	5.334305381774903	1	1	coding
ENST00000262850	1573	375	0.4228	5.852108573913574	1	1	coding
ENST00000262879	8633	1495	0.4426	6.334501075744629	1	1	coding
ENST00000262919	8651	1430	0.35881	7.239832496643068	1	1	coding
ENST00000262942	1582	371	0.38249	8.45904178619385	1	0.999998	coding
ENST00000263035	5173	920	0.41434000000000004	6.456477546691894	1	1	coding
ENST00000263036	2464	578	0.47157999999999994	5.124740028381347	1	1	coding
ENST00000263238	6589	419	0.3167	5.6113386154174805	1	1	coding
ENST00000263253	8779	2415	0.4859899999999999	8.805237007141116	1	1	coding
ENST00000263441	5916	901	0.36616000000000004	6.957172203063965	1	1	coding
ENST00000263461	4545	1225	0.46856000000000003	6.48023624420166	1	1	coding
ENST00000263672	2691	227	0.30707	8.68642177581787	1	0.93515	coding
ENST00000263688	5625	1255	0.49540999999999996	4.931714820861815	1	1	coding
ENST00000263708	11090	927	0.3118	7.153323554992675	1	1	coding
ENST00000263713	6556	734	0.39596999999999993	6.14556827545166	1	1	coding
ENST00000263849	3310	326	0.34727	9.863421058654787	1	0.999355	coding
ENST00000263966	8038	864	0.37021	5.33487377166748	1	1	coding
ENST00000263969	2754	770	0.49533999999999995	5.959193229675294	1	1	coding
ENST00000263991	5165	1232	0.5030100000000001	5.239384269714355	1	1	coding
ENST00000264010	3814	728	0.40724	6.5083715438842775	1	1	coding
ENST00000264028	3994	512	0.39793999999999996	5.886666679382324	1	1	coding
ENST00000264033	11168	907	0.31833999999999996	6.099358177185057	1	1	coding
ENST00000264057	6308	1215	0.42952999999999997	7.617982292175294	1	1	coding
ENST00000264158	4891	982	0.4771	5.375570487976075	1	1	coding
ENST00000264167	7633	659	0.36604000000000003	6.988092613220215	1	1	coding
ENST00000264221	3339	452	0.39212	7.4450780868530275	1	1	coding
ENST00000264244	1271	176	0.32954	9.049378776550292	1	0.763104	coding
ENST00000264312	1958	246	0.36568999999999996	7.021798133850097	1	0.998918	coding
ENST00000264313	6081	582	0.37607	9.483250999450682	1	1	coding
ENST00000264377	6334	833	0.36428	7.8485906600952156	1	1	coding
ENST00000264441	2959	294	0.40299999999999997	6.236283302307128	1	0.999991	coding
ENST00000264447	6487	1979	0.41462	6.0202951431274405	1	1	coding
ENST00000264501	15896	5006	0.45761999999999997	6.124026298522948	1	1	coding
ENST00000264637	2538	491	0.43705	6.422260475158691	1	1	coding
ENST00000264645	3890	704	0.41447	6.053773307800292	1	1	coding
ENST00000264649	4110	839	0.42799000000000004	6.202123069763183	1	1	coding
ENST00000264779	1786	481	0.47551	6.730043601989746	1	1	coding
ENST00000264866	2967	527	0.46585000000000004	5.674316215515137	1	1	coding
ENST00000264874	1988	328	0.4355	6.656152915954592	1	0.999999	coding
ENST00000264893	5545	430	0.40125	6.360533332824706	1	1	coding
ENST00000264932	2693	665	0.44216	7.063858985900879	1	1	coding
ENST00000265026	9857	967	0.34103	6.046213722229004	1	1	coding
ENST00000265077	12345	3397	0.44399	4.429201316833496	1	1	coding
ENST00000265109	4986	981	0.46786	5.86620464324951	1	1	coding
ENST00000265149	9588	1195	0.36230999999999997	8.467293739318851	1	1	coding
ENST00000265175	5083	1269	0.44665000000000005	6.18819751739502	1	1	coding
ENST00000265192	1456	128	0.4105	4.0500284194946286	1	0.952548	coding
ENST00000265295	2529	606	0.45543	5.413197898864746	1	1	coding
ENST00000265304	677	149	0.4326	9.593620872497556	1	0.918614	coding
ENST00000265339	2241	153	0.38269	4.911991691589355	1	0.967044	coding
ENST00000265393	2478	748	0.46146	5.290255165100096	1	1	coding
ENST00000265421	1290	336	0.44679	9.012373924255371	1	0.999999	coding
ENST00000265742	6340	1090	0.4594	4.982642555236816	1	1	coding
ENST00000265872	4658	1151	0.4868	5.570073509216308	1	1	coding
ENST00000265881	1080	238	0.4607200000000001	6.404242515563964	1	0.999899	coding
ENST00000265896	2962	575	0.41958	8.799176979064942	1	1	coding
ENST00000265963	3012	549	0.4131	8.796791648864748	1	1	coding
ENST00000265990	8361	1850	0.46918	6.081453895568846	1	1	coding
ENST00000266022	3630	1124	0.45733999999999997	5.925374031066894	1	1	coding
ENST00000266087	2060	523	0.45026	6.10759983062744	1	1	coding
ENST00000266508	5830	504	0.33807999999999994	4.98667812347412	1	1	coding
ENST00000266544	8356	378	0.29526	9.813135719299318	1	0.997765	coding
ENST00000266546	4013	957	0.45089	5.239327430725097	1	1	coding
ENST00000266679	2229	589	0.42263	7.282689094543457	1	1	coding
ENST00000267260	8431	612	0.3315	11.751635551452637	1	0.999993	coding
ENST00000267488	1605	457	0.47417000000000004	8.017433357238769	1	1	coding
ENST00000267750	1019	184	0.38532999999999995	8.841726112365723	1	0.958605	coding
ENST00000268349	2799	74	0.34251	11.590400123596194	1	0.0572043	noncoding
ENST00000268835	1958	370	0.44898000000000005	7.0800580978393555	1	1	coding
ENST00000268942	3449	574	0.35502	9.244524574279783	1	1	coding
ENST00000269195	3970	560	0.36188	7.826606941223146	1	1	coding
ENST00000269260	1778	410	0.47451999999999994	7.592063713073731	1	1	coding
ENST00000269439	7802	347	0.31065	8.19227161407471	1	0.999672	coding
ENST00000269829	3547	716	0.35105000000000003	8.148368644714356	1	1	coding
ENST00000270139	6075	558	0.34526999999999997	5.581498146057128	1	1	coding
ENST00000270776	2268	484	0.45737	6.801319694519043	1	1	coding
ENST00000271234	4227	606	0.37929	6.1950181961059565	1	1	coding
ENST00000271877	3997	1080	0.46631999999999996	6.203089332580566	1	1	coding
ENST00000272638	3771	509	0.43773	6.103677940368651	1	1	coding
ENST00000272716	3414	1107	0.49815	5.959818458557129	1	1	coding
ENST00000272793	8009	1889	0.43584	5.736952781677247	1	1	coding
ENST00000272930	2137	186	0.35568	6.30511531829834	1	0.975605	coding
ENST00000273047	2518	216	0.33914	8.3178560256958	1	0.970568	coding
ENST00000273480	2669	114	0.34394	5.240236854553221	1	0.515827	coding
ENST00000273482	4324	760	0.39727	8.33461780548096	1	1	coding
ENST00000273739	5132	1543	0.41513	6.476314353942871	1	1	coding
ENST00000273986	5878	139	0.33289	9.503300666809082	1	0.413805	noncoding
ENST00000274140	9641	911	0.37421000000000004	5.853529548645019	1	1	coding
ENST00000274376	4746	1048	0.46582	6.105553627014159	1	1	coding
ENST00000276123	2887	762	0.44877000000000006	6.398217582702637	1	1	coding
ENST00000276202	6719	2074	0.47377	7.871090126037597	1	1	coding
ENST00000276204	6664	2078	0.46168000000000003	7.942843437194825	1	1	coding
ENST00000276520	6513	396	0.37990999999999997	4.812125587463378	1	1	coding
ENST00000276893	3576	803	0.46475	8.551489448547365	1	1	coding
ENST00000277225	10345	2507	0.40138999999999997	7.531587028503419	1	1	coding
ENST00000277415	1014	136	0.46947000000000005	9.329816246032717	1	0.929325	coding
ENST00000278100	1234	315	0.45078	4.507923316955567	1	1	coding
ENST00000278460	1650	332	0.45414000000000004	5.158331871032714	1	1	coding
ENST00000280154	3481	470	0.39334	5.074551200866698	1	1	coding
ENST00000280190	4705	1323	0.49583	6.005573844909667	1	1	coding
ENST00000280377	14971	982	0.3118	5.061591911315917	1	1	coding
ENST00000280527	6060	1037	0.33399	5.082792854309081	1	1	coding
ENST00000281141	1321	337	0.46437999999999996	4.643654823303222	1	1	coding
ENST00000281416	4608	792	0.44181	5.348060417175293	1	1	coding
ENST00000281419	5665	1007	0.43847	6.238045310974121	1	1	coding
ENST00000281631	7475	855	0.34699	8.57508487701416	1	1	coding
ENST00000282032	2373	261	0.30091	8.421779060363772	1	0.980415	coding
ENST00000282077	14072	437	0.29595000000000005	8.91547794342041	1	0.999919	coding
ENST00000282356	11942	474	0.3118	5.603096961975097	1	1	coding
ENST00000282412	2608	480	0.44772000000000006	4.950130653381346	1	1	coding
ENST00000282516	10425	2805	0.48402	8.08641452789307	1	1	coding
ENST00000282841	2895	301	0.3972	5.784868049621582	1	0.999996	coding
ENST00000283131	7684	1053	0.40035999999999994	8.27060070037842	1	1	coding
ENST00000283632	6183	392	0.29772	5.705236625671388	1	0.999998	coding
ENST00000284041	3751	509	0.30331	10.391546058654786	1	0.999929	coding
ENST00000284061	8608	568	0.29595000000000005	8.016982078552246	1	1	coding
ENST00000284440	1103	224	0.45671	5.330838203430175	1	0.999869	coding
ENST00000284894	4699	674	0.42077000000000003	5.6376550674438475	1	1	coding
ENST00000285518	5237	365	0.30419	9.18366641998291	1	0.999159	coding
ENST00000285679	3973	1056	0.46002	5.22022953033447	1	1	coding
ENST00000285681	5216	1088	0.46368000000000004	5.265928077697754	1	1	coding
ENST00000285737	8195	853	0.37539	6.876006126403809	1	1	coding
ENST00000285848	1719	496	0.42191	9.740995597839355	1	1	coding
ENST00000285896	2446	293	0.39078999999999997	4.693843650817871	1	0.999997	coding
ENST00000286353	3302	481	0.39501	9.16516399383545	1	1	coding
ENST00000286364	5638	850	0.40697	6.839458656311035	1	1	coding
ENST00000286452	3527	944	0.4452	5.55546588897705	1	1	coding
ENST00000287218	3138	228	0.29928	7.428878974914551	1	0.965517	coding
ENST00000287239	8314	2074	0.41844	5.6831262588500975	1	1	coding
ENST00000287546	5047	1429	0.49934	5.432011604309081	1	1	coding
ENST00000287701	3711	421	0.34696	5.720128440856934	1	1	coding
ENST00000287727	5148	1426	0.47028000000000003	4.88510684967041	1	1	coding
ENST00000287859	3820	455	0.37746999999999997	5.6204328536987305	1	1	coding
ENST00000287912	1404	269	0.47733	4.0500284194946286	1	0.999998	coding
ENST00000287936	4530	889	0.44594999999999996	6.333250617980957	1	1	coding
ENST00000288266	6069	710	0.39904000000000006	5.277523231506346	1	1	coding
ENST00000288670	5630	1093	0.46049	7.367322349548339	1	1	coding
ENST00000290158	6058	877	0.41488	4.680031776428222	1	1	coding
ENST00000290219	1699	338	0.37795	5.273999214172362	1	1	coding
ENST00000290541	918	265	0.45499	5.719275856018067	1	0.999989	coding
ENST00000290913	1000	236	0.43216	9.01321201324463	1	0.99934	coding
ENST00000291439	12859	424	0.31285	6.820985984802246	1	0.999999	coding
ENST00000291478	10888	1290	0.41417000000000004	5.978120613098144	1	1	coding
ENST00000292538	2931	679	0.46613000000000004	5.353516960144043	1	1	coding
ENST00000292644	2712	434	0.46745000000000003	5.7130235671997065	1	1	coding
ENST00000292807	1931	436	0.45867	9.573442268371583	1	1	coding
ENST00000292928	8336	551	0.32256	9.421425819396973	1	1	coding
ENST00000293618	6296	654	0.38513	6.058888816833496	1	1	coding
ENST00000293831	1758	407	0.46253	5.321857643127441	1	1	coding
ENST00000294952	3173	781	0.48701000000000005	6.400661659240723	1	1	coding
ENST00000295006	3366	701	0.43351999999999996	4.8747053146362305	1	1	coding
ENST00000295685	1605	301	0.42338	6.843323707580566	1	0.999995	coding
ENST00000295770	4107	827	0.41799	9.041578102111817	1	1	coding
ENST00000295920	2024	595	0.46084	7.205672264099121	1	1	coding
ENST00000295930	1727	335	0.43890999999999997	11.083872032165527	1	0.999987	coding
ENST00000295952	4420	812	0.48406	5.322312355041503	1	1	coding
ENST00000296015	3000	771	0.45336000000000004	8.774163246154785	1	1	coding
ENST00000296088	5188	766	0.37624	6.620458030700684	1	1	coding
ENST00000296122	3527	328	0.31369	5.843071174621582	1	0.999967	coding
ENST00000296257	5596	590	0.34192	9.540305519104006	1	1	coding
ENST00000296333	953	236	0.45275000000000004	5.759688377380371	1	0.999918	coding
ENST00000296464	10608	840	0.38828	5.633733177185058	1	1	coding
ENST00000296543	6174	867	0.41105	7.225281715393066	1	1	coding
ENST00000296550	4075	767	0.41098	8.628142356872559	1	1	coding
ENST00000296564	7930	2267	0.45966000000000007	5.321175575256347	1	1	coding
ENST00000296582	4164	439	0.33494	5.850176048278808	1	1	coding
ENST00000296702	4654	1099	0.45921999999999996	8.710275077819823	1	1	coding
ENST00000296802	1199	190	0.3838	10.451759529113769	1	0.939366	coding
ENST00000296930	1320	295	0.47652000000000005	4.638937187194824	1	0.999999	coding
ENST00000297447	1944	244	0.33836	6.396341896057129	1	0.998144	coding
ENST00000297540	3609	395	0.37870000000000004	5.274908638000488	1	1	coding
ENST00000297661	2705	503	0.41030999999999995	5.015836524963378	1	1	coding
ENST00000298068	4862	777	0.43277	8.424035453796389	1	1	coding
ENST00000298119	4417	720	0.38519000000000003	7.264273262023925	1	1	coding
ENST00000298139	7575	1433	0.44582000000000005	5.957147026062012	1	1	coding
ENST00000298274	4767	1055	0.46266999999999997	4.813603401184082	1	1	coding
ENST00000298556	1395	219	0.46373000000000003	6.210762596130371	1	0.999689	coding
ENST00000298832	4716	1282	0.45459	8.822901344299318	1	1	coding
ENST00000299130	2337	293	0.39549	4.522189903259277	1	0.999998	coding
ENST00000299167	5464	1094	0.47972	6.4655149459838865	1	1	coding
ENST00000299240	3648	957	0.48079999999999995	5.584965324401855	1	1	coding
ENST00000299275	4238	1117	0.47196	7.20413761138916	1	1	coding
ENST00000299297	658	140	0.42065	5.859099769592285	1	0.931009	coding
ENST00000299300	1916	536	0.45183	6.0121671676635735	1	1	coding
ENST00000299505	6680	1071	0.36009	6.722711372375489	1	1	coding
ENST00000299565	3623	469	0.39255999999999996	6.520932960510254	1	1	coding
ENST00000299714	727	100	0.47004	6.717084312438964	1	0.529336	coding
ENST00000299957	3974	437	0.41581999999999997	5.1375856399536115	1	1	coding
ENST00000300087	10954	183	0.28338	8.317082405090332	1	0.647792	coding
ENST00000300249	4212	328	0.34153999999999995	5.3628953933715815	1	0.999995	coding
ENST00000300278	7477	2304	0.44293	5.4990816116333	1	1	coding
ENST00000300289	3680	506	0.44168999999999997	5.983406639099121	1	1	coding
ENST00000300650	3477	704	0.46362	6.506439018249511	1	1	coding
ENST00000300784	1393	310	0.45846	7.128314399719239	1	0.999999	coding
ENST00000301011	3705	954	0.45191000000000003	8.39502468109131	1	1	coding
ENST00000301740	9044	2753	0.41461	11.999967765808105	1	1	coding
ENST00000301788	791	173	0.42812000000000006	5.325211143493653	1	0.99473	coding
ENST00000301821	1140	296	0.44368	4.787571144104004	1	0.999999	coding
ENST00000302279	1667	380	0.48913	4.956723976135252	1	1	coding
ENST00000302313	3965	678	0.45742	6.587434577941894	1	1	coding
ENST00000302516	9692	1218	0.39314000000000004	5.130139732360839	1	1	coding
ENST00000302517	2601	323	0.30506999999999995	9.270569801330566	1	0.996181	coding
ENST00000302979	693	134	0.46443000000000006	5.546428489685058	1	0.938801	coding
ENST00000303210	1664	341	0.38128	5.604006385803221	1	0.999999	coding
ENST00000303296	7614	1216	0.40029	7.156904411315918	1	1	coding
ENST00000303635	8314	1674	0.44236000000000003	7.294000053405762	1	1	coding
ENST00000304621	2304	523	0.43644	7.064256858825684	1	1	coding
ENST00000304743	12865	2342	0.37983	6.797681999206542	1	1	coding
ENST00000304842	1981	371	0.41682	9.205198860168458	1	0.999999	coding
ENST00000304886	2050	207	0.44124	4.73806438446045	1	0.999722	coding
ENST00000305138	3164	671	0.45253000000000004	6.198996925354003	1	1	coding
ENST00000305494	8980	459	0.31035	9.527992057800294	1	0.999964	coding
ENST00000305586	3277	537	0.47540000000000004	6.337229347229004	1	1	coding
ENST00000305737	9233	1166	0.39459999999999995	7.895588111877441	1	1	coding
ENST00000305877	6783	1272	0.45935	6.615910911560059	1	1	coding
ENST00000306156	5749	738	0.39688999999999997	6.733112907409668	1	1	coding
ENST00000306378	11075	2921	0.48846999999999996	6.701510429382325	1	1	coding
ENST00000306897	1038	193	0.40691	8.426098442077638	1	0.987792	coding
ENST00000306932	1878	521	0.44480000000000003	5.411322212219238	1	1	coding
ENST00000307145	6845	289	0.28062	9.630174446105958	1	0.9482	coding
ENST00000307305	4793	748	0.3962	9.165099525451662	1	1	coding
ENST00000307403	4360	440	0.47173000000000004	10.275374031066892	1	1	coding
ENST00000307602	14348	719	0.32080000000000003	5.117066764831542	1	1	coding
ENST00000307671	4329	1137	0.45237	7.461277198791504	1	1	coding
ENST00000307731	3859	580	0.42293000000000003	6.618241310119629	1	1	coding
ENST00000307767	1876	206	0.29772	8.619761466979984	1	0.836608	coding
ENST00000307839	2155	205	0.35058	11.615800666809083	1	0.810366	coding
ENST00000308275	10707	404	0.30788000000000004	6.606361961364747	1	0.999997	coding
ENST00000308497	10507	927	0.31285	8.673785972595216	1	1	coding
ENST00000308580	8232	353	0.34775	5.0817697525024395	1	0.999999	coding
ENST00000308696	3323	954	0.47731	5.2460344314575185	1	1	coding
