,module_id,gene_id,gene_name,seqid,strand,lsv_id,event_id,complex,module_event_combination,denovo,junction_name,junctions_coords,event_non_changing,event_changing,junction_changing,refPSI,KDSoma_median_psi,deltaPSI,prob,padjust,event,abs(deltaPSI)
23,ENSG00000059915.17_1,ENSG00000059915.17,PSD,chr10,-,ENSG00000059915.17:t:102416654-102417121,ENSG00000059915.17_1_TCE_2,TRUE,cassette^3|tandem_cassette^2|alt5^1|ir^6|afe^10|putative_afe^3|multi_exon_spanning^4,TRUE,C2_A_Last,chr10:102417121-102417940,FALSE,FALSE,TRUE,0,0.297,0.276,1,0,cassette,0.276
24,ENSG00000064309.16_7,ENSG00000064309.16,CDON,chr11,-,ENSG00000064309.16:s:125982027-125984093,ENSG00000064309.16_7_A3_1,FALSE,alt3^1,TRUE,Distal,chr11:125981314-125983872,FALSE,TRUE,TRUE,0.002,0.332,0.314,1,0,AFE/ALE,0.314
25,ENSG00000066827.16_2,ENSG00000066827.16,ZFAT,chr8,-,ENSG00000066827.16:t:134637461-134637712,ENSG00000066827.16_2_pAFE_1,FALSE,putative_afe^1,TRUE,Proximal,chr8:134637712-134645005,FALSE,TRUE,TRUE,0.006,0.282,0.243,1,0,AFE/ALE,0.243
26,ENSG00000067057.18_1,ENSG00000067057.18,PFKP,chr10,+,ENSG00000067057.18:s:3099275-3099352,ENSG00000067057.18_1_CE_1,TRUE,cassette^2|alt3^1,TRUE,C1_A,chr10:3099352-3099557,FALSE,TRUE,TRUE,0.012,0.689,0.685,1,0,cassette,0.685
27,ENSG00000067057.18_1,ENSG00000067057.18,PFKP,chr10,+,ENSG00000067057.18:s:3099275-3099352,ENSG00000067057.18_1_CE_2,TRUE,cassette^2|alt3^1,TRUE,C1_A,chr10:3099352-3099624,FALSE,FALSE,FALSE,0.001,0.142,0.112,0.94,0.029,cassette,0.112
28,ENSG00000072071.17_2,ENSG00000072071.17,ADGRL1,chr19,-,ENSG00000072071.17:s:14177531-14177744,ENSG00000072071.17_2_CE_1,TRUE,cassette^1|ir^5|afe^4|multi_exon_spanning^4,TRUE,C1_A,chr19:14176669-14177531,FALSE,TRUE,TRUE,0,0.256,0.234,1,0,cassette,0.234
29,ENSG00000072071.17_2,ENSG00000072071.17,ADGRL1,chr19,-,ENSG00000072071.17:t:14170488-14170791,ENSG00000072071.17_2_afe_1,TRUE,cassette^1|ir^5|afe^4|multi_exon_spanning^4,TRUE,Distal,chr19:14170791-14176479,FALSE,FALSE,TRUE,0,0.217,0.198,1,0,AFE/ALE,0.198
30,ENSG00000072195.15_5,ENSG00000072195.15,SPEG,chr2,+,ENSG00000072195.15:t:219466057-219466862,ENSG00000072195.15_5_pAFE_1,TRUE,ir^3|ale^2|putative_afe^2,TRUE,Proximal,chr2:219465786-219466057,FALSE,TRUE,TRUE,0.014,0.326,0.309,1,0,AFE/ALE,0.309
31,ENSG00000075043.20_1,ENSG00000075043.20,KCNQ2,chr20,-,ENSG00000075043.20:s:63444659-63444834,ENSG00000075043.20_1_CE_1,TRUE,cassette^1|ir^2|ale^1|afe^2|multi_exon_spanning^1|other^1,TRUE,C1_C2,chr20:63439708-63444659,FALSE,TRUE,TRUE,0.028,0.261,-0.242,1,0,skipping,0.242
32,ENSG00000075043.20_1,ENSG00000075043.20,KCNQ2,chr20,-,ENSG00000075043.20:t:63439598-63439790,ENSG00000075043.20_1_afe_1,TRUE,cassette^1|ir^2|ale^1|afe^2|multi_exon_spanning^1|other^1,TRUE,Distal,chr20:63439708-63444659,FALSE,TRUE,TRUE,0.039,0.256,0.229,1,0,AFE/ALE,0.229
33,ENSG00000077063.11_1,ENSG00000077063.11,CTTNBP2,chr7,-,ENSG00000077063.11:t:117861209-117861316,ENSG00000077063.11_1_pAFE_1,TRUE,cassette^1|ir^4|ale^4|putative_ale^8|putative_afe^1|multi_exon_spanning^1,TRUE,Proximal,chr7:117861316-117862098,FALSE,FALSE,TRUE,0.013,0.168,0.145,0.999,0,AFE/ALE,0.145
34,ENSG00000077080.10_2,ENSG00000077080.10,ACTL6B,chr7,-,ENSG00000077080.10:s:100655019-100655119,ENSG00000077080.10_2_CE_1,TRUE,cassette^1|ir^4,TRUE,C1_A,chr7:100650643-100655019,FALSE,TRUE,TRUE,0.021,0.636,0.626,1,0,cassette,0.626
35,ENSG00000078043.16_2,ENSG00000078043.16,PIAS2,chr18,-,ENSG00000078043.16:t:46855565-46855615,ENSG00000078043.16_2_CE_1,FALSE,cassette^1,FALSE,C2_C1,chr18:46855615-46890580,FALSE,FALSE,FALSE,0.033,0.159,-0.125,0.911,0.03,skipping,0.125
36,ENSG00000087206.17_2,ENSG00000087206.17,UIMC1,chr5,-,ENSG00000087206.17:s:176982469-176982623,ENSG00000087206.17_2_CE_1,FALSE,cassette^1,TRUE,C1_A,chr5:176980390-176982469,FALSE,FALSE,TRUE,0.021,0.123,0.1,0.957,0.022,cassette,0.1
37,ENSG00000087495.17_1,ENSG00000087495.17,PHACTR3,chr20,+,ENSG00000087495.17:t:59743107-59743268,ENSG00000087495.17_1_pAFE_1,TRUE,putative_afe^1|orphan_junc^1|other^1,TRUE,Proximal,chr20:59742318-59743107,FALSE,FALSE,FALSE,0.001,0.131,0.103,0.939,0.031,AFE/ALE,0.103
38,ENSG00000088766.12_3,ENSG00000088766.12,CRLS1,chr20,+,ENSG00000088766.12:s:6015361-6016055,ENSG00000088766.12_3_CE_1,TRUE,cassette^2|ir^2|afe^2|multi_exon_spanning^2,TRUE,C1_A,chr20:6015490-6026171,FALSE,TRUE,TRUE,0.002,0.229,0.202,1,0,cassette,0.202
39,ENSG00000088766.12_3,ENSG00000088766.12,CRLS1,chr20,+,ENSG00000088766.12:t:6031163-6031370,ENSG00000088766.12_3_afe_2,TRUE,cassette^2|ir^2|afe^2|multi_exon_spanning^2,TRUE,Distal,chr20:6026238-6031285,FALSE,FALSE,TRUE,0.008,0.213,0.187,1,0,AFE/ALE,0.187
40,ENSG00000088854.13_3,ENSG00000088854.13,DNAAF9,chr20,-,ENSG00000088854.13:s:3348525-3348623,ENSG00000088854.13_3_CE_1,TRUE,cassette^1|ir^4,TRUE,C1_A,chr20:3344699-3348525,FALSE,TRUE,TRUE,0.002,0.441,0.426,1,0,cassette,0.426
41,ENSG00000089351.15_1,ENSG00000089351.15,GRAMD1A,chr19,+,ENSG00000089351.15:s:35000323-35000486,ENSG00000089351.15_1_CE_1,TRUE,cassette^1|ir^2|afe^2|multi_exon_spanning^1,TRUE,C1_A,chr19:35000486-35001098,FALSE,TRUE,TRUE,0.006,0.185,0.161,1,0,cassette,0.161
42,ENSG00000089351.15_1,ENSG00000089351.15,GRAMD1A,chr19,+,ENSG00000089351.15:t:35009119-35009329,ENSG00000089351.15_1_afe_2,TRUE,cassette^1|ir^2|afe^2|multi_exon_spanning^1,FALSE,Distal,chr19:35001244-35009119,FALSE,FALSE,TRUE,0.025,0.314,0.293,1,0,AFE/ALE,0.293
43,ENSG00000090861.17_1,ENSG00000090861.17,AARS1,chr16,-,ENSG00000090861.17:s:70276486-70276631,ENSG00000090861.17_1_CE_1,TRUE,cassette^1|ir^4,TRUE,C1_A,chr16:70272882-70276486,FALSE,TRUE,TRUE,0,0.286,0.27,1,0,cassette,0.27
44,ENSG00000092140.16_1,ENSG00000092140.16,G2E3,chr14,+,ENSG00000092140.16:s:30559158-30559272,ENSG00000092140.16_1_pALE_1,TRUE,cassette^1|ir^2|putative_ale^2|other^1,TRUE,Proximal,chr14:30559272-30563746,FALSE,FALSE,TRUE,0.001,0.136,0.11,0.956,0.021,AFE/ALE,0.11
45,ENSG00000095319.14_2,ENSG00000095319.14,NUP188,chr9,+,ENSG00000095319.14:s:128952773-128952895,ENSG00000095319.14_2_CE_1,FALSE,cassette^1,TRUE,C1_A,chr9:128952846-128956141,FALSE,TRUE,TRUE,0.003,0.783,0.781,1,0,cassette,0.781
46,ENSG00000099901.17_1,ENSG00000099901.17,RANBP1,chr22,+,ENSG00000099901.17:t:20124139-20125488,ENSG00000099901.17_1_CE_1,FALSE,cassette^1,FALSE,C2_A,chr22:20122697-20125308,FALSE,FALSE,TRUE,0.003,0.123,0.102,0.981,0.01,cassette,0.102
47,ENSG00000099968.18_2,ENSG00000099968.18,BCL2L13,chr22,+,ENSG00000099968.18:s:17702243-17703733,ENSG00000099968.18_2_other,TRUE,cassette^7|tandem_cassette^1|multi_exon_spanning^3|other^1,TRUE,J3,chr22:17702386-17722274,FALSE,FALSE,TRUE,0.006,0.134,0.107,0.963,0.019,cassette,0.107
48,ENSG00000100028.12_1,ENSG00000100028.12,SNRPD3,chr22,+,ENSG00000100028.12:s:24571916-24574971,ENSG00000100028.12_1_pALE_1,TRUE,ir^2|putative_ale^2|orphan_junc^1,TRUE,Proximal,chr22:24572635-24575501,FALSE,FALSE,TRUE,0.004,0.188,0.162,0.993,0.002,AFE/ALE,0.162
49,ENSG00000100429.18_3,ENSG00000100429.18,HDAC10,chr22,-,ENSG00000100429.18:t:50248366-50248472,ENSG00000100429.18_3_TCE_2,TRUE,cassette^1|tandem_cassette^4|alt3^1|alt5^1|multi_exon_spanning^4|other^1,TRUE,C2_A_Last,chr22:50248472-50248698,FALSE,FALSE,TRUE,0.043,0.224,0.174,0.991,0.002,cassette,0.174
50,ENSG00000100983.12_1,ENSG00000100983.12,GSS,chr20,-,ENSG00000100983.12:s:34951482-34951762,ENSG00000100983.12_1_ale_1,FALSE,ale^1,FALSE,Proximal,chr20:34950154-34951724,FALSE,TRUE,TRUE,0.001,0.231,0.202,1,0,AFE/ALE,0.202
51,ENSG00000101166.16_1,ENSG00000101166.16,PRELID3B,chr20,-,ENSG00000101166.16:s:59038134-59038634,ENSG00000101166.16_1_CE_1,TRUE,cassette^2|alt3^1,FALSE,C1_C2,chr20:59036760-59038466,FALSE,FALSE,TRUE,0.001,0.157,-0.132,0.998,0.001,skipping,0.132
52,ENSG00000101974.15_3,ENSG00000101974.15,ATP11C,chrX,-,ENSG00000101974.15:s:139737916-139738069,ENSG00000101974.15_3_MES_3,TRUE,cassette^5|putative_alt3^1|putative_alt5^1|mxe^2|ir^6|multi_exon_spanning^5,FALSE,C1_A,chrX:139737796-139737916,FALSE,FALSE,TRUE,0.041,0.291,0.241,0.997,0,cassette,0.241
53,ENSG00000102189.17_1,ENSG00000102189.17,EEA1,chr12,-,ENSG00000102189.17:s:92851111-92851266,ENSG00000102189.17_1_CE_1,FALSE,cassette^1,TRUE,C1_A,chr12:92846276-92851111,FALSE,TRUE,TRUE,0.014,0.255,0.231,1,0,cassette,0.231
54,ENSG00000102935.12_2,ENSG00000102935.12,ZNF423,chr16,-,ENSG00000102935.12:s:49730576-49730971,ENSG00000102935.12_2_CE_1,FALSE,cassette^1,TRUE,C1_A,chr16:49640505-49730771,FALSE,TRUE,TRUE,0.001,0.41,0.391,1,0,cassette,0.391
55,ENSG00000103154.10_2,ENSG00000103154.10,NECAB2,chr16,+,ENSG00000103154.10:s:83990494-83990630,ENSG00000103154.10_2_CE_1,TRUE,cassette^1|ir^2,TRUE,C1_A,chr16:83990630-83993528,FALSE,TRUE,TRUE,0.001,0.409,0.389,1,0,cassette,0.389
56,ENSG00000103194.16_2,ENSG00000103194.16,USP10,chr16,+,ENSG00000103194.16:t:84740309-84740369,ENSG00000103194.16_2_CE_1,FALSE,cassette^1,TRUE,C2_A,chr16:84735173-84740309,FALSE,FALSE,TRUE,0.001,0.192,0.169,1,0,cassette,0.169
57,ENSG00000103426.12_4,ENSG00000103426.12,CORO7-PAM16,chr16,-,ENSG00000103426.12:s:4387986-4388068,ENSG00000103426.12_4_pALE_1,FALSE,putative_ale^1,TRUE,Proximal,chr16:4367442-4387986,FALSE,TRUE,TRUE,0.019,0.347,0.323,1,0,AFE/ALE,0.323
58,ENSG00000104435.14_1,ENSG00000104435.14,STMN2,chr8,+,ENSG00000104435.14:s:79611117-79611214,ENSG00000104435.14_1_ale_1,TRUE,ir^2|ale^2|putative_ale^2,TRUE,Distal,chr8:79611214-79616822,FALSE,FALSE,TRUE,0.003,0.637,0.624,1,0,AFE/ALE,0.624
59,ENSG00000105143.13_1,ENSG00000105143.13,SLC1A6,chr19,-,ENSG00000105143.13:s:14979309-14980298,ENSG00000105143.13_1_CE_2,TRUE,cassette^2|alt5^2|putative_alt3^2|alt3_5^1|ir^13|ale^11|afe^6|multi_exon_spanning^14,TRUE,C1_A,chr19:14979046-14979513,FALSE,FALSE,TRUE,0,0.139,0.113,0.985,0.007,cassette,0.113
60,ENSG00000105220.17_2,ENSG00000105220.17,GPI,chr19,+,ENSG00000105220.17:t:34392143-34393308,ENSG00000105220.17_2_mxe_1,TRUE,alt3^1|alt3_5^2|mxe^3|putative_ale^4|putative_afe^3|orphan_junc^1|multi_exon_spanning^1|other^1,TRUE,C2_A2,chr19:34392042-34392143,FALSE,FALSE,TRUE,0,0.127,0.101,0.965,0.018,cassette,0.101
61,ENSG00000105321.14_2,ENSG00000105321.14,CCDC9,chr19,+,ENSG00000105321.14:s:47271274-47271953,ENSG00000105321.14_2_A5_1,FALSE,alt5^1,TRUE,Proximal,chr19:47271672-47272069,FALSE,FALSE,TRUE,0.004,0.187,0.16,0.994,0.002,AFE/ALE,0.16
62,ENSG00000105339.11_3,ENSG00000105339.11,DENND3,chr8,+,ENSG00000105339.11:t:141175200-141176266,ENSG00000105339.11_3_pA5_1,FALSE,putative_alt5^1|ir^1,FALSE,Proximal,chr8:141173741-141175200,FALSE,FALSE,FALSE,0.023,0.176,0.132,0.923,0.02,AFE/ALE,0.132
63,ENSG00000105613.10_3,ENSG00000105613.10,MAST1,chr19,+,ENSG00000105613.10:s:12840991-12841454,ENSG00000105613.10_3_CE_1,TRUE,cassette^2|alt5^1|ir^5,TRUE,C1_A,chr19:12841066-12842139,FALSE,FALSE,TRUE,0,0.275,0.254,1,0,cassette,0.254
64,ENSG00000105613.10_3,ENSG00000105613.10,MAST1,chr19,+,ENSG00000105613.10:t:12843529-12843607,ENSG00000105613.10_3_A5_1,TRUE,cassette^2|alt5^1|ir^5,TRUE,Distal,chr19:12842178-12843529,FALSE,FALSE,TRUE,0,0.151,0.124,1,0,AFE/ALE,0.124
65,ENSG00000105738.11_1,ENSG00000105738.11,SIPA1L3,chr19,+,ENSG00000105738.11:s:37907208-37907358,ENSG00000105738.11_1_ale_1,TRUE,ale^2|putative_ale^2|other^1,TRUE,Distal,chr19:37907358-38008096,FALSE,FALSE,TRUE,0.003,0.377,0.353,1,0,AFE/ALE,0.353
66,ENSG00000105784.16_1,ENSG00000105784.16,RUNDC3B,chr7,+,ENSG00000105784.16:t:87650822-87650937,ENSG00000105784.16_1_A5_1,TRUE,cassette^3|alt5^2|ir^4|putative_afe^2|multi_exon_spanning^1,TRUE,Distal,chr7:87628572-87650822,FALSE,TRUE,TRUE,0.001,0.261,0.238,1,0,AFE/ALE,0.238
67,ENSG00000106012.18_1,ENSG00000106012.18,IQCE,chr7,+,ENSG00000106012.18:s:2558972-2559217,ENSG00000106012.18_1_CE_1,TRUE,cassette^3|ir^2|ale^4|multi_exon_spanning^4|other^1,TRUE,C1_A,chr7:2559217-2564878,FALSE,TRUE,TRUE,0.001,0.621,0.608,1,0,cassette,0.608
68,ENSG00000106012.18_1,ENSG00000106012.18,IQCE,chr7,+,ENSG00000106012.18:s:2558972-2559217,ENSG00000106012.18_1_ale_1,TRUE,cassette^3|ir^2|ale^4|multi_exon_spanning^4|other^1,TRUE,Proximal,chr7:2559217-2562526,FALSE,TRUE,TRUE,0.013,0.202,0.181,1,0,AFE/ALE,0.181
69,ENSG00000106299.8_1,ENSG00000106299.8,WASL,chr7,-,ENSG00000106299.8:s:123692347-123692867,ENSG00000106299.8_1_CE_2,TRUE,cassette^2|alt5^1|ir^5,TRUE,C1_C2,chr7:123684580-123692347,FALSE,TRUE,TRUE,0.001,0.554,-0.547,1,0,skipping,0.547
70,ENSG00000106299.8_1,ENSG00000106299.8,WASL,chr7,-,ENSG00000106299.8:t:123681943-123684580,ENSG00000106299.8_1_CE_1,TRUE,cassette^2|alt5^1|ir^5,TRUE,C2_A,chr7:123684580-123688997,FALSE,FALSE,FALSE,0,0.119,0.096,0.922,0.042,cassette,0.096
71,ENSG00000106976.21_4,ENSG00000106976.21,DNM1,chr9,+,ENSG00000106976.21:s:128250725-128251244,ENSG00000106976.21_4_A3_1,TRUE,alt3^1|ir^2,TRUE,Proximal,chr9:128250940-128253047,FALSE,TRUE,TRUE,0.001,0.204,0.181,1,0,AFE/ALE,0.181
72,ENSG00000107672.15_2,ENSG00000107672.15,NSMCE4A,chr10,-,ENSG00000107672.15:s:121974004-121974285,ENSG00000107672.15_2_CE_1,TRUE,cassette^1|ir^4,TRUE,C1_A,chr10:121973599-121974004,FALSE,FALSE,TRUE,0.019,0.261,0.232,1,0,cassette,0.232
73,ENSG00000107742.14_1,ENSG00000107742.14,SPOCK2,chr10,-,ENSG00000107742.14:s:72088615-72089032,ENSG00000107742.14_1_A3A5_1,TRUE,alt3_5^1|ir^2,TRUE,E1_E2_J2,chr10:72088525-72088615,FALSE,FALSE,FALSE,0.01,0.131,0.103,0.931,0.034,cassette,0.103
74,ENSG00000108176.15_1,ENSG00000108176.15,DNAJC12,chr10,-,ENSG00000108176.15:t:67823314-67823392,ENSG00000108176.15_1_CE_1,TRUE,cassette^1|putative_afe^2,TRUE,C2_A,chr10:67823392-67835392,FALSE,FALSE,FALSE,0.036,0.153,0.116,0.94,0.027,cassette,0.116
75,ENSG00000108852.16_2,ENSG00000108852.16,MPP2,chr17,-,ENSG00000108852.16:s:43898244-43898380,ENSG00000108852.16_2_CE_1,TRUE,cassette^1|alt5^1,FALSE,C1_A,chr17:43884155-43898262,FALSE,FALSE,FALSE,0.026,0.117,0.094,0.917,0.043,cassette,0.094
76,ENSG00000110514.19_8,ENSG00000110514.19,MADD,chr11,+,ENSG00000110514.19:s:47324471-47325035,ENSG00000110514.19_8_CE_2,TRUE,cassette^4|alt5^3|putative_alt3^1|ir^5|multi_exon_spanning^6,TRUE,C1_A,chr11:47325032-47326544,FALSE,FALSE,TRUE,0.005,0.195,0.17,0.999,0,cassette,0.17
77,ENSG00000110514.19_8,ENSG00000110514.19,MADD,chr11,+,ENSG00000110514.19:s:47324471-47325035,ENSG00000110514.19_8_MES_5,TRUE,cassette^4|alt5^3|putative_alt3^1|ir^5|multi_exon_spanning^6,FALSE,C1_A,chr11:47324577-47325262,FALSE,FALSE,TRUE,0.003,0.326,0.3,1,0,cassette,0.3
78,ENSG00000110514.19_8,ENSG00000110514.19,MADD,chr11,+,ENSG00000110514.19:t:47326544-47326552,ENSG00000110514.19_8_A5_1,TRUE,cassette^4|alt5^3|putative_alt3^1|ir^5|multi_exon_spanning^6,TRUE,Proximal,chr11:47325032-47326544,FALSE,TRUE,TRUE,0.009,0.248,0.222,1,0,AFE/ALE,0.222
79,ENSG00000110514.19_8,ENSG00000110514.19,MADD,chr11,+,ENSG00000110514.19:t:47328142-47328704,ENSG00000110514.19_8_A5_3,TRUE,cassette^4|alt5^3|putative_alt3^1|ir^5|multi_exon_spanning^6,TRUE,Proximal,chr11:47325032-47328658,FALSE,TRUE,TRUE,0.003,0.281,0.259,1,0,AFE/ALE,0.259
80,ENSG00000111880.16_2,ENSG00000111880.16,RNGTT,chr6,-,ENSG00000111880.16:s:88906022-88906440,ENSG00000111880.16_2_A5_1,FALSE,alt5^1,TRUE,Proximal,chr6:88904955-88906022,FALSE,FALSE,TRUE,0.039,0.179,0.141,0.97,0.011,AFE/ALE,0.141
81,ENSG00000114541.15_1,ENSG00000114541.15,FRMD4B,chr3,-,ENSG00000114541.15:t:69302343-69302435,ENSG00000114541.15_1_afe_1,TRUE,ir^1|ale^1|afe^1|multi_exon_spanning^1,TRUE,Proximal,chr3:69302436-69306406,FALSE,FALSE,TRUE,0.009,0.221,0.186,0.993,0.001,AFE/ALE,0.186
